ticket_id,created_at,category,priority,status,response_time_hrs,resolution_time_hrs,agent_id,customer_rating,issue_summary
TKT-001,05-02-2024 11:14,General,Low,Resolved,3.7,7.8,AGT-03,4,Request for product documentation
TKT-002,05-03-2024 17:01,Billing,Low,Resolved,1.2,13.7,AGT-09,4,Incorrect charge on invoice
TKT-003,13-02-2024 12:09,Billing,High,Resolved,4.8,2.1,AGT-04,5,Unexpected fee on account
TKT-004,09-03-2024 09:59,Billing,High,Resolved,0.6,10.7,AGT-07,4,Subscription not activated after payment
TKT-005,25-03-2024 11:49,General,Low,Open,4.9,,AGT-05,,How to export data to CSV
TKT-006,22-03-2024 13:10,Technical,Low,Resolved,1.9,34.1,AGT-06,2,Dashboard not loading
TKT-007,21-01-2024 15:24,General,High,Open,4.9,,AGT-05,,Question about usage limits
TKT-008,08-01-2024 11:52,General,Medium,Resolved,4.1,22.1,AGT-01,4,Request for account deletion
TKT-009,20-02-2024 18:29,Billing,High,Resolved,1.5,3.9,AGT-03,4,Wrong plan charged
TKT-010,18-01-2024 16:31,Technical,Low,Open,3.8,,AGT-02,,Dashboard not loading
TKT-011,28-03-2024 14:38,General,Low,Resolved,2,15.1,AGT-02,4,Request for product documentation
TKT-012,28-03-2024 16:48,General,High,Resolved,3.9,2.7,AGT-05,1,Need help with onboarding
TKT-013,05-03-2024 09:55,General,High,Open,1.6,,AGT-11,,Question about usage limits
TKT-014,21-01-2024 16:49,Billing,Medium,Resolved,4.6,4.5,AGT-09,4,Unexpected fee on account
TKT-015,13-03-2024 09:05,Billing,Low,Resolved,2.5,37.7,AGT-12,2,Payment failed but amount deducted
TKT-016,08-03-2024 17:27,General,Low,Open,4.7,,AGT-04,,Question about usage limits
TKT-017,26-03-2024 18:23,General,Medium,Resolved,4.5,3.4,AGT-08,1,Question about usage limits
TKT-018,10-01-2024 18:03,General,Low,Resolved,0.5,26.6,AGT-04,3,Change notification preferences
TKT-019,14-03-2024 17:30,Billing,Medium,Open,4,,AGT-04,,Subscription not activated after payment
